rank,position,title,asin,rating,ratings_total,price.symbol,price.value,price.currency,price.raw,current_category.name,current_category.id,parent_category.name,parent_category.id
66,16,Power Supply for Xbox One [Latest Version] Replacement Power Brick Power Box for Xbox one Adapter AC Power Cord Cable 100-240,B07GD8TN2M,4.3,24117,$,29.99,CAD,$29.99,Video Games,videogames,Any Department,zgbs
67,17,"BENFEI HDMI to DVI, Bi Directional DVI-D 24+1 Male to HDMI Male High Speed Adapter Cable Support 1080P Full HD Compatible for",B07D6RL3VN,4.6,13064,$,11.59,CAD,$11.59,Video Games,videogames,Any Department,zgbs
68,18,"Charger for Nintendo Switch and Switch Lite and Switch OLED with 5FT Charger Cable for Switch, Support Switch TV Dock Mode AC",B07MVG7H8V,4.7,11909,$,17.99,CAD,$17.99,Video Games,videogames,Any Department,zgbs
69,19,DualSense Wireless Controller - Gray Camouflage,B0BDT72Z19,4.7,844,$,94.0,CAD,$94.00,Video Games,videogames,Any Department,zgbs
70,20,"Xbox Core Wireless Gaming Controller – Deep Pink – Xbox Series X|S, Xbox One, Windows PC, Android, and iOS",B09VV5LJS1,4.6,78551,$,69.0,CAD,$69.00,Video Games,videogames,Any Department,zgbs
71,21,"Turtle Beach Stealth 600 Gen 2 USB Wireless Amplified Gaming Headset - Licensed for Xbox Series X, Xbox Series S, & Xbox One ",B09SM79BY4,4.5,728,$,89.96,CAD,$89.96,Video Games,videogames,Any Department,zgbs
72,22,"HyperX Cloud II - Gaming Headset, 7.1 Surround Sound, Memory Foam Ear Pads, Durable Aluminum Frame, Detachable Microphone, Wo",B00SAYCXWG,4.4,95136,$,110.58,CAD,$110.58,Video Games,videogames,Any Department,zgbs
73,23,"Logitech Pebble Keys 2 K380s, Multi-Device Bluetooth Wireless Keyboard with Customizable Shortcuts, Slim and Portable, Easy-S",B0BT4DP7SC,4.6,22830,$,49.99,CAD,$49.99,Video Games,videogames,Any Department,zgbs
74,24,Unicorn Overlord - PlayStation 5 - Standard Edition Edition,B0CJ4KF5J7,4.7,54,$,54.99,CAD,$54.99,Video Games,videogames,Any Department,zgbs
75,25,DualSense Wireless Controller - White,B0CQKLS4RP,4.1,98,$,53.99,CAD,$53.99,Video Games,videogames,Any Department,zgbs
76,26,"Logitech F310 Wired Gamepad, Controller Console Like Layout, 4 Switch - Grey/Blue",B003VAHYQY,4.3,22824,$,24.98,CAD,$24.98,Video Games,videogames,Any Department,zgbs
77,27,PowerA Nintendo Switch Joy-Con Comfort Grip - Black,B01MS7YUA7,4.6,43691,$,17.44,CAD,$17.44,Video Games,videogames,Any Department,zgbs
78,28,"OIVO PS5 Charging Station, PS5 Controller Charger Station for Dualsense Controller, PS5 Charger for Playstation 5 Dual Contro",B08S3FMVV7,4.6,13071,$,21.99,CAD,$21.99,Video Games,videogames,Any Department,zgbs
79,29,"2 Pack 10FT/3M Charger Charging Cable for PS5/Xbox Series X/S Controller/Switch Pro Controller, Replacement USB Charging Cord",B08M8W189S,4.4,5926,$,15.99,CAD,$15.99,Video Games,videogames,Any Department,zgbs
80,30,Just Dance 2024 Edition - Amazon Exclusive Bundle | Nintendo Switch (Code in Box & Ubisoft Connect Code),B0C7RNTFLY,4.1,2214,$,39.99,CAD,$39.99,Video Games,videogames,Any Department,zgbs
81,31,Joy-Con™ (L)/(R) - Pastel Pink,B0CT3TZC8Q,4.7,100734,$,99.99,CAD,$99.99,Video Games,videogames,Any Department,zgbs
82,32,"daydayup Switch Carrying Case Compatible with Nintendo Switch/Switch OLED, with 20 Games Cartridges Protective Hard Shell Tra",B0711K97BS,4.7,31057,$,24.99,CAD,$24.99,Video Games,videogames,Any Department,zgbs
83,33,Splatoon 3 - Nintendo Switch - Standard Edition,B09KRL1RM6,4.7,646,,,,MSRPClick for price,Video Games,videogames,Any Department,zgbs
84,34,DualSense Wireless Controller - Galactic Purple,B09NMV37WB,4.7,1003,$,94.96,CAD,$94.96,Video Games,videogames,Any Department,zgbs
85,35,"VersionTECH. Gaming Mouse Ergonomic Wired Computer Mouse with 7 Colors LED Backlight, 4 DPI Settings Up to 3600 DPI Compatibl",B00WEVLE30,4.5,16178,$,16.99,CAD,$16.99,Video Games,videogames,Any Department,zgbs
86,36,DualSense Wireless Controller - Starlight Blue,B09NMXZQ2W,4.6,1062,$,94.0,CAD,$94.00,Video Games,videogames,Any Department,zgbs
87,37,"Switch Controller for Nintendo Switch, Replacement Wireless Switch Controllers Support Sports Dual Vibration/Wake-up/Motion C",B0CR1MG2D6,4.6,27,$,39.99,CAD,$39.99,Video Games,videogames,Any Department,zgbs
88,38,Fallout S.P.E.C.I.A.L. Anthology Edition (Codes in Box) - PC,B0CW3T6KXQ,4.2,11,$,79.99,CAD,$79.99,Video Games,videogames,Any Department,zgbs
89,39,New SteelSeries Arctis Nova 1P Multi-System Gaming Headset — Hi-Fi Drivers — 360° Spatial Audio — Comfort Design — Durable — ,B0B8QMW657,3.7,649,$,59.88,CAD,$59.88,Video Games,videogames,Any Department,zgbs
90,40,"Xbox Elite Wireless Gaming Controller Series 2 – Black – Xbox Series X|S, Xbox One, Windows PC, Android, and iOS",B07SFKTLZM,4.2,31097,$,211.88,CAD,$211.88,Video Games,videogames,Any Department,zgbs
91,41,"Wireless Controller for PS4, Controller Wireless for PS4, with Vibration, Audio Jack, Six-Axis Motion Control, Touchpad, for ",B0CPYMRFJT,4.4,3415,$,26.99,CAD,$26.99,Video Games,videogames,Any Department,zgbs
92,42,"Switch Charger for Nintendo Switch and Lite OLED with 5FT Charging Cable, AC Power Supply Adapter for Nintendo Switch with Ch",B08DVFHXYC,4.7,1903,$,22.99,CAD,$22.99,Video Games,videogames,Any Department,zgbs
93,43,Nintendo Switch™ with Neon Blue and Neon Red Joy‑Con™ (New Box),B0BFJWCYTL,4.8,6524,$,399.0,CAD,$399.00,Video Games,videogames,Any Department,zgbs
94,44,"JSAUX Docking Station for Steam Deck OLED 2023/ROG Ally/Legion Go, 5-in-1 Steam Deck Dock with HDMI 2.0 4K@60Hz, 100Mbps Ethe",B0B28PCDM2,4.3,1400,$,39.99,CAD,$39.99,Video Games,videogames,Any Department,zgbs
95,45,"BOBOVR M3 Pro Battery Pack Head Strap - Compatible with Meta Quest 3,Reduce Facial Stress,Magnetic Connection Hot-Swappable B",B0CJLG9SBR,4.5,1053,$,79.0,CAD,$79.00,Video Games,videogames,Any Department,zgbs
96,46,"Nintendo Switch OLED Model Carrying Case, 9 in 1 Accessories Kit",B07MR496WN,4.5,32243,$,23.99,CAD,$23.99,Video Games,videogames,Any Department,zgbs
97,47,Razer Cobra Wired Gaming Mouse: 58g Lightweight Design - Gen-3 Optical Switches - Chroma RGB Lighting with Underglow - Precis,B0C51J2ZXN,4.5,556,$,39.99,CAD,$39.99,Video Games,videogames,Any Department,zgbs
98,48,"KontrolFreek FPS Freek Galaxy Black for Playstation 4 (PS4) and Playstation 5 (PS5) | Performance Thumbsticks | 1 High-Rise, ",B0B4862QNJ,4.5,2501,$,22.99,CAD,$22.99,Video Games,videogames,Any Department,zgbs
99,49,"Redragon M908 Impact RGB Gaming Mouse, 12,400 DPI Wired Laser MMO Mouse with High Precision Actuation, 12 Macro Side Buttons ",B07FK9PKSM,4.4,6667,$,44.99,CAD,$44.99,Video Games,videogames,Any Department,zgbs
100,50,"Mechanical Gaming Keyboard,RGB 104 Keys Ultra-Slim Rainbow LED Backlit USB Wired Keyboard with Blue Switches,Durable ABS Keyc",B09TR4Y91J,4.4,1552,$,39.99,CAD,$39.99,Video Games,videogames,Any Department,zgbs
