rank,title,rating,ratings_total,price
90,"Brother PTH110 Easy, Portable Label Maker-Handheld Labeller, Black/White (190"" (W) x 104"" (D) x 286"" (H))",4.7,939,$38.99
91,"Anker Soundcore Mini, Super-Portable Bluetooth Speaker with 15-Hour Playtime, 66-Foot Bluetooth Range, Enhanced Bass, Noise-C",4.6,93376,$34.99
92,"eufy Security Indoor Cam E220, 2K, Pan & Tilt, Indoor Security Camera, Wi-Fi Plug-in Camera, Human & Pet AI, Voice Assistant ",4.5,16417,$69.99
93,"TP-Link TL-SG105 5 Port Gigabit Unmanaged Ethernet Network Switch, Ethernet Splitter, Plug and Play, Fanless Metal Design, Sh",4.7,113032,$17.99
94,"Casio fx-300ESPLUS2 2nd Edition, Standard Scientific Calculator, Black FX-300ESPLS2",4.7,5502,$20.93
95,"Fujifilm Quicksnap Flash 400 Single-Use Camera with Flash 2-Pack (54 Exposures), Black",4.4,1775,$48.72
96,"Bluetooth Car Adapter, WOCBUY 3.5mm AUX Bluetooth Receiver for Music Streaming, Wireless Music Audio Adapter with Built-in Mi",4.5,795,$16.56
97,JBL Tune Beam - True Wireless Noise Cancelling Earbuds - Black,4.1,13862,$89.98
98,"UnionSine 1TB Ultra Slim Portable External Hard Drive USB3.0 HDD Storage for PC,Mac, Desktop, Laptop, PS4, Xbox One, Xbox 360",4.5,33561,$73.19
99,"Monster N-Lite 203 AirLinks Wireless Earbuds, Bluetooth Headphones with HiFi Stereo, Wireless Earphones with HD Clear Call, 3",3.8,315,$149.99
100,Seagate BarraCuda 8TB Internal Hard Drive HDD – 3.5 Inch Sata 6 Gb/s 5400 RPM 256MB Cache for Computer Desktop PC – Frustrati,4.6,109687,$149.99
